Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Tspec	e_Tspec	logg	e_logg
1.60800253405152E+018	214.56472869663	1.01111111111111E-08	52.65088248886	1.05277777777778E-08	280.631622	4.235443	-0.213	0	3.5319	0.0451	3599.8621	0	4.7405	0
1.60800424774269E+018	214.58690475793	8.80555555555556E-09	52.71208271414	9.08333333333333E-09	1568.5011	90.71582	-0.8725	0	0.619	0.0385	5170.147	0	4.7031	0
1.60800397716053E+018	214.63070697692	0.0000000035	52.69126574283	3.58333333333333E-09	721.797424	7.78256249999998	-0.1223	0	1.3573	0.0151	5668.897	0	4.5307	0
1.60800390414528E+018	214.64083401674	2.07222222222222E-08	52.67890273801	2.11388888888889E-08	1080.27905	130.4773555	-0.3832	0	0.9425	0.0906	3712.9458	0	4.6018	0
1.60800311816707E+018	214.63841937967	1.51111111111111E-08	52.65962512809	1.47777777777778E-08	198.036575	2.75954400000001	-0.5973	0	5.0208	0.0647	3502.8704	0	5.0018	0
1.60800311387263E+018	214.63937032251	1.98055555555556E-08	52.65917828395	1.95277777777778E-08	198.425522	3.0749205	-0.5715	0	5.0237	0.0854	3386.5649	0	5.0475	0
1.60801596441348E+018	214.55021843857	0.0000000155	52.72172550874	1.70277777777778E-08	477.443024	14.171707	-0.2729	0	2.069	0.0707	3598.6626	0	4.4894	0
1.60800164069832E+018	214.63328804457	3.36111111111111E-09	52.64642241798	3.44444444444444E-09	183.170288	0.584457499999999	nan	0	5.4334	0.0146	nan	0	nan	0
1.60801394148466E+018	214.50593172948	2.02222222222222E-08	52.65257847398	2.06111111111111E-08	700.619507	47.3019105	-1.1033	0	1.4119	0.0902	3561.4604	0	4.4053	0
1.60800219045414E+018	214.51810943907	4.86111111111111E-09	52.64167870366	5.02777777777778E-09	724.313049	11.7763675	0.1856	0	1.3545	0.0217	4839.8389	0	4.3496	0
1.60800315252681E+018	214.66778534584	3.18333333333333E-08	52.66650152475	3.26111111111111E-08	212.321625	5.8740155	-0.5025	0	4.6758	0.1375	3001.1292	0	4.6102	0
1.60801400590836E+018	214.48299486047	0.00000006075	52.67571546385	6.15833333333333E-08	585.588684	86.5791625	nan	0	1.6811	0.2599	nan	0	nan	0
1.60801397584441E+018	214.48784863692	1.49722222222222E-08	52.65401934343	1.58611111111111E-08	2055.34009	290.94769	-0.9099	0	0.457	0.0675	5120.4531	0	4.7138	0
