#Object	RA	e_RA	Dec	e_Dec	Distance	e_Distance	FeH	e_FeH	Parallax	e_Parallax	Teff_J-PLUS_W	e_Teff_J-PLUS_W	Teff_J-PLUS_Y	e_Teff_J-PLUS_Y	Teff_LAMOST	e_Teff_LAMOST	Tspec	e_Tspec	logg	e_logg
1608002534051520768	214.5647287	1.0111111111111111e-08	52.65088249	1.0527777777777778e-08	280.631622	4.235443000000004	-0.213	0	3.5319	0.0451	3614.158452	0	5908.2188	0	nan	nan	3599.8621	0	4.7405	0
1608004247742692608	214.5869048	8.805555555555556e-09	52.71208271	9.083333333333334e-09	1568.5011	90.71582000000001	-0.8725	0	0.619	0.0385	5368.63765	0	5309.0024	0	5497.88	0	5170.147	0	4.7031	0
1608003977160533376	214.630707	3.5e-09	52.69126574	3.583333333333333e-09	721.797424	7.782562499999983	-0.1223	0	1.3573	0.0151	5646.974527	0	5552.1479	0	5555.5	0	5668.897	0	4.5307	0
1608003904145283968	214.640834	2.0722222222222224e-08	52.67890274	2.113888888888889e-08	1080.27905	130.47735549999993	-0.3832	0	0.9425	0.0906	nan	nan	61863.9219	0	nan	nan	3712.9458	0	4.6018	0
1608003118167073792	214.6384194	1.511111111111111e-08	52.65962513	1.4777777777777777e-08	198.036575	2.7595440000000053	-0.5973	0	5.0208	0.0647	nan	nan	nan	nan	nan	nan	3502.8704	0	5.0018	0
1608003113872633728	214.6393703	1.9805555555555555e-08	52.65917828	1.952777777777778e-08	198.425522	3.0749205000000046	-0.5715	0	5.0237	0.0854	nan	nan	nan	nan	nan	nan	3386.5649	0	5.0475	0
1608015964413482880	214.5502184	1.55e-08	52.72172551	1.7027777777777777e-08	477.443024	14.171706999999998	-0.2729	0	2.069	0.0707	3983.351731	0	4217.7051	0	nan	nan	3598.6626	0	4.4894	0
1608001640698323712	214.633288	3.361111111111111e-09	52.64642242	3.4444444444444444e-09	183.170288	0.5844574999999992	nan	0	5.4334	0.0146	4032.075771	0	4026.2998	0	nan	nan	nan	0	nan	0
1608013941484658688	214.5059317	2.0222222222222222e-08	52.65257847	2.0611111111111113e-08	700.619507	47.30191050000002	-1.1033	0	1.4119	0.0902	4065.984848	0	4805.5283	0	nan	nan	3561.4604	0	4.4053	0
1608002190454136576	214.5181094	4.861111111111111e-09	52.6416787	5.027777777777778e-09	724.313049	11.776367499999992	0.1856	0	1.3545	0.0217	4934.332387	0	4923.7554	0	4976.06	0	4839.8389	0	4.3496	0
1608003152526812416	214.6677853	3.1833333333333334e-08	52.66650152	3.2611111111111114e-08	212.321625	5.874015499999999	-0.5025	0	4.6758	0.1375	nan	nan	56236.8828	0	nan	nan	3001.1292	0	4.6102	0
1608014005908364928	214.4829949	6.075e-08	52.67571546	6.158333333333333e-08	585.588684	86.5791625	nan	0	1.6811	0.2599	nan	nan	nan	nan	nan	nan	nan	0	nan	0
1608013975844411136	214.4878486	1.4972222222222222e-08	52.65401934	1.586111111111111e-08	2055.34009	290.94768999999985	-0.9099	0	0.457	0.0675	5308.649257	0	5333.7319	0	nan	nan	5120.4531	0	4.7138	0
1608001911280423680	214.5524834	4.9222222222222224e-08	52.61921162	5.655555555555556e-08	475.035797	51.32164	nan	0	2.1103	0.231	nan	nan	118154.1094	0	nan	nan	nan	0	nan	0
1608003285670007808	214.6752015	2.7805555555555554e-08	52.70118812	2.7972222222222222e-08	1505.44104	238.69885	-0.6042	0	0.6275	0.1225	4232.314489	0	4269.9219	0	nan	nan	3856.2522	0	4.8187	0
1608004694419302528	214.6400311	2.4777777777777777e-08	52.73142865	2.5583333333333334e-08	1478.53711	209.94030999999995	-1.4879	0	0.6355	0.1089	4740.546482	0	nan	nan	nan	nan	4492.6768	0	4.8721	0
1608013975844396928	214.4742304	8.055555555555556e-09	52.66542514	9.055555555555555e-09	3210.72412	399.347045	-1.6314	0	0.2935	0.0362	5723.058592	0	nan	nan	nan	nan	5473.1201	0	4.238	0
1608004419541554944	214.6762649	8.991666666666667e-08	52.70964095	9.611111111111111e-08	368.511902	60.398116999999985	nan	0	2.8782	0.4081	nan	nan	79369.6719	0	nan	nan	nan	0	nan	0
1608004492556609408	214.6598586	1.3416666666666668e-08	52.7278898	1.3444444444444445e-08	668.721497	26.717895499999997	-0.5796	0	1.4775	0.0584	4189.54572	0	4217.1758	0	4434.66	0	4040.8479	0	4.0958	0
1608014182002826752	214.4646206	3.9999999999999994e-08	52.66303421	4.330555555555556e-08	205.231064	7.468856500000001	-0.1972	0	4.8883	0.1753	6112.238095	0	nan	nan	nan	nan	6125.5239	0	4.1438	0
