B     B-V     U-B     V-I     V-K     Mv   CL Typ    Teff   logg  Pop  Age     Mass   Mbol    Radius   [M/H]    [a/Fe]  longitude   latitude   RAJ2000     DECJ2000   Dist     x_Gal    y_Gal    z_Gal     Av       errMv     errMass     errAge     errTeff    errLogg    errMet     errAlphaFe     errBand_B  errBand_U  errBand_V  errBand_I  errBand_K                                                                             
  20.436  1.776   1.484   3.085   5.746  14.99  5 7.50    3042.  5.07   5  4.0329  0.076   11.911    0.131  -0.106  -0.036    96.364441   59.967560  214.424469   52.481903   0.0537  -8.0030   0.0267   0.0615   0.026    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0033    -0.0093    -0.0072    -0.0050    -0.0141
  20.812  1.827   1.458   3.161   5.885  14.98  5 7.50    3107.  5.14   4  2.4024  0.105   12.145    0.119  -0.071   0.019    96.197823   59.931446  214.566757   52.454506   0.0624  -8.0034   0.0311   0.0690   0.038    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0411    -0.0068    -0.0078    -0.0296    -0.0293
  18.870  1.596   1.310   2.652   5.024  12.80  5 7.35    3293.  5.21   7  8.5064  0.068   10.295    0.244  -0.336   0.036    96.963036   59.671574  214.364471   52.902424   0.0766  -8.0047   0.0384   0.0811   0.037    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0167     0.0067     0.0176     0.0039     0.0105
  18.023  1.506   1.139   2.486   4.837  12.08  5 7.30    3393.  5.03   6  6.0886  0.250    9.861    0.281  -0.054   0.037    96.492050   59.721127  214.609879   52.710278   0.0752  -8.0043   0.0377   0.0799   0.038    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0091    -0.0014     0.0214     0.0177    -0.0094
  15.260  1.430   1.219   1.951   3.978   9.84  5 7.10    3627.  4.85   3  1.6356  0.612    8.427    0.448  -0.015  -0.021    97.362106   59.737465  214.038162   52.981163   0.0609  -8.0039   0.0304   0.0676   0.037    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0103     0.0017     0.0268     0.0039     0.0266
  21.098  1.691   1.454   3.050   5.661  14.43  5 7.45    3078.  5.13   3  1.5547  0.342   11.598    0.148   0.074   0.025    96.340607   60.251762  214.135635   52.258728   0.0972  -8.0053   0.0479   0.0994   0.048    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0126     0.0024    -0.0099    -0.0303    -0.0002
  20.273  1.694   1.409   2.891   5.468  13.72  5 7.45    3106.  5.19   5  4.1013  0.184   11.134    0.179  -0.060  -0.063    96.784195   59.456257  214.710800   53.007450   0.0918  -8.0055   0.0463   0.0941   0.044    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0074     0.0164    -0.0023     0.0345     0.0259
  16.547  1.467   1.188   2.090   4.221  10.39  5 7.20    3567.  4.77   4  2.3179  0.562    8.880    0.387  -0.041  -0.002    96.579872   59.227699  215.090942   53.111912   0.0843  -8.0049   0.0429   0.0875   0.052    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0113     0.0143     0.0107    -0.0167    -0.0267
  13.711  1.200   1.245   1.380   2.985   7.53  5 6.50    4300.  4.61   7  8.5006  0.773    6.865    0.680   0.064   0.001    96.523201   59.572243  214.751343   52.833134   0.0958  -8.0055   0.0482   0.0976   0.049    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200    -0.0152     0.0051     0.0263    -0.0222    -0.0177
  18.137  1.572   1.114   2.231   4.359  11.13  5 7.25    3417.  4.93   7  8.6461  0.364    9.328    0.333  -0.288  -0.018    97.272820   59.684605  214.151810   52.993042   0.1202  -8.0077   0.0602   0.1188   0.059    0.0000     0.1000     0.1000    50.0000     0.1000     0.1000     0.0200     0.0088    -0.0315    -0.0223    -0.0447     0.0153
