# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Tue Mar  7 16:00:44 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01 -0.17553 9.87506 0.0900000036 1.0816895926    0.090 -3.388  3.3784  5.246    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.09e-17      0.00 7.221e-01 2.679e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 13.240 22.600 19.891 18.002 15.788 13.519 11.136 10.560 10.292
0.01 -0.17553 9.87506 0.1000000015 1.1711064122    0.100 -3.193  3.4066  5.210    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.33e-17      0.00 7.217e-01 2.683e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.753 22.047 19.376 17.496 15.296 13.033 10.651 10.075 9.803
0.01 -0.17553 9.87506 0.1200000048 1.3193154741    0.120 -2.926  3.4408  5.159    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-16      0.00 7.209e-01 2.691e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 12.086 20.064 17.809 16.031 14.140 12.087 10.045 9.457 9.173
0.01 -0.17553 9.87506 0.1400000006 1.4384526719    0.140 -2.745  3.4597  5.120    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-16      0.00 7.203e-01 2.697e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.633 18.701 16.709 15.000 13.326 11.448 9.642 9.046 8.761
0.01 -0.17553 9.87506 0.1599999964 1.5372931554    0.160 -2.603  3.4733  5.090    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-16      0.00 7.198e-01 2.702e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 11.277 17.762 15.931 14.266 12.733 10.982 9.320 8.720 8.438
0.01 -0.17553 9.87506 0.2000000030 1.6938790862    0.200 -2.383  3.4921  5.042    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.51e-16      0.00 7.188e-01 2.712e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.728 16.485 14.848 13.230 11.868 10.306 8.821 8.217 7.943
0.01 -0.17553 9.87506 0.2500000000 1.8403257998    0.250 -2.177  3.5066  4.992    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.33e-16      0.00 7.180e-01 2.720e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 10.213 15.507 13.988 12.416 11.156 9.720 8.343 7.735 7.471
0.01 -0.17553 9.87506 0.3000000119 1.9529139769    0.300 -2.011  3.5171  4.947    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.5e-16      0.00 7.176e-01 2.724e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.798 14.804 13.353 11.812 10.614 9.263 7.954 7.342 7.086
0.01 -0.17553 9.87506 0.3073289394 1.9673623679    0.307 -1.988  3.5185  4.939    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.89e-16      0.00 7.185e-01 2.715e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.740 14.711 13.267 11.731 10.541 9.200 7.900 7.287 7.031
0.01 -0.17553 9.87506 0.3500000238 2.0434175133    0.350 -1.862  3.5258  4.900    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-15      0.00 7.228e-01 2.672e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 9.425 14.223 12.816 11.302 10.148 8.861 7.603 6.986 6.736
