# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Mar  2 15:47:32 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.90309 0.0900000036 1.0816895926    0.090 -3.423  3.3624  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-17      0.00 7.083e-01 2.765e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.328 22.604 19.981 18.144 15.990 13.740 11.238 10.623 10.334
0.0152 0.01508 9.90309 0.1000000015 1.1711064122    0.100 -3.241  3.3883  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-17      0.00 7.079e-01 2.768e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.872 22.086 19.498 17.670 15.528 13.284 10.783 10.169 9.876
0.0152 0.01508 9.90309 0.1114152670 1.2599527032    0.111 -3.084  3.4089  5.156    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.2e-17      0.00 7.075e-01 2.772e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.480 21.641 19.083 17.263 15.131 12.892 10.391 9.778 9.482
0.0152 0.01508 9.90309 0.1200000122 1.3193155232    0.120 -2.976  3.4231  5.137    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.072e-01 2.775e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.210 21.012 18.575 16.781 14.727 12.541 10.136 9.523 9.224
0.0152 0.01508 9.90309 0.1400000006 1.4384526719    0.140 -2.792  3.4434  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.066e-01 2.781e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.751 19.465 17.357 15.651 13.836 11.820 9.724 9.109 8.809
0.0152 0.01508 9.90309 0.1521820575 1.5006750008    0.152 -2.704  3.4519  5.084    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-16      0.00 7.063e-01 2.785e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.530 18.832 16.843 15.170 13.446 11.502 9.524 8.907 8.609
0.0152 0.01508 9.90309 0.1599999964 1.5372931554    0.160 -2.651  3.4569  5.073    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-16      0.00 7.061e-01 2.787e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.398 18.458 16.538 14.880 13.211 11.316 9.404 8.787 8.490
0.0152 0.01508 9.90309 0.2000000030 1.6938790862    0.200 -2.433  3.4757  5.027    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-16      0.00 7.051e-01 2.796e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.852 17.119 15.415 13.816 12.329 10.600 8.904 8.284 7.996
0.0152 0.01508 9.90309 0.2500000000 1.8403257998    0.250 -2.222  3.4920  4.978    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.89e-16      0.00 7.043e-01 2.804e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.325 16.003 14.447 12.883 11.529 9.954 8.417 7.796 7.518
0.0152 0.01508 9.90309 0.3000000119 1.9529139769    0.300 -2.057  3.5027  4.935    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-16      0.00 7.040e-01 2.807e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.913 15.268 13.789 12.259 10.976 9.483 8.030 7.405 7.136
